,Destino,Origen,topic,author,undirected_edge,frequency,weight
169871,mantilla,julissa,topico 1,GTNZ1256,julissa-mantilla,1593,1593
179296,mantilla,julissa,topico 1,alvarosarco,julissa-mantilla,1593,1593
284842,mantilla,julissa,topico 1,ElizaldeMiro,julissa-mantilla,1593,1593
284802,mantilla,julissa,topico 1,LibertadEsMivoz,julissa-mantilla,1593,1593
179319,mantilla,julissa,topico 1,Enfoque21Luis,julissa-mantilla,1593,1593
169209,mantilla,julissa,topico 1,ANTIROJO2019,julissa-mantilla,1593,1593
284776,mantilla,julissa,topico 1,KikeTerrones,julissa-mantilla,1593,1593
169186,mantilla,julissa,topico 1,rgcsi,julissa-mantilla,1593,1593
284656,mantilla,julissa,topico 1,maquinadcombate,julissa-mantilla,1593,1593
165779,mantilla,julissa,topico 1,mapa803,julissa-mantilla,1593,1593
284750,mantilla,julissa,topico 1,martell_mori,julissa-mantilla,1593,1593
179413,mantilla,julissa,topico 1,Ecomart7,julissa-mantilla,1593,1593
147374,mantilla,julissa,topico 1,MalenaMenesesTi,julissa-mantilla,1593,1593
179436,mantilla,julissa,topico 1,EnriqueYturbe,julissa-mantilla,1593,1593
169163,mantilla,julissa,topico 1,omarzm,julissa-mantilla,1593,1593
284724,mantilla,julissa,topico 1,jennyfve2015,julissa-mantilla,1593,1593
284868,mantilla,julissa,topico 1,marimari202167,julissa-mantilla,1593,1593
284894,mantilla,julissa,topico 1,Mycroft42097064,julissa-mantilla,1593,1593
148427,mantilla,julissa,topico 1,Compartetuopini,julissa-mantilla,1593,1593
169251,mantilla,julissa,topico 1,leychy11,julissa-mantilla,1593,1593
285074,mantilla,julissa,topico 1,MarieHeleneGar,julissa-mantilla,1593,1593
169345,mantilla,julissa,topico 1,AliciaTatcher,julissa-mantilla,1593,1593
133644,mantilla,julissa,topico 1,monteshashimoto,julissa-mantilla,1593,1593
169230,mantilla,julissa,topico 1,mmvasquezs,julissa-mantilla,1593,1593
